序号,主修专业,GPA分段,挂科门数,奖学金级别,四六级成绩,计算机等级,双学位辅修,实习类型,实习企业规模,实习岗位相关性,岗位类型,岗位名称,起薪
1,金融学,3.0-3.5,0,无,517 (通过),二级,无,日常实习,四大会计师事务所,部分相关,技术岗,量化研究员,10500
2,金融学,3.0-3.5,0,无,478 (通过),二级,无,暑期实习,外资企业,完全相关,非技术岗,市场营销专员,11000
3,会计学,3.0-3.5,0,无,517 (通过),无,无,毕业实习,外资企业,完全相关,非技术岗,市场营销专员,10000
4,金融学,2.0-3.0,0,无,365 (未通过),二级,无,毕业实习,创业公司,部分相关,技术岗,财务分析师,10500
5,土木工程,3.5+,0,省奖,461 (通过),二级,无,毕业实习,国企,完全相关,技术岗,材料研发员,9500
6,信息安全,3.5+,0,无,582 (通过),三级,无,日常实习,上市科技公司,完全相关,技术岗,系统架构师,13500
7,计算机科学与技术,3.5+,0,无,469 (通过),三级,无,毕业实习,中小型企业,完全相关,技术岗,数据分析师,13500
8,自动化,2.0-3.0,0,无,434 (通过),三级,无,毕业实习,中小型企业,完全相关,技术岗,自动化控制师,12000
9,市场营销,3.5+,0,无,621 (通过),无,法学,暑期实习,外资企业,完全相关,技术岗,量化研究员,12000
10,新闻学,2.0-3.0,0,无,432 (通过),一级,无,暑期实习,自由职业,无关,非技术岗,行政助理,7500
11,机械工程,3.0-3.5,0,省奖,602 (通过),二级,工商管理,暑期实习,央企,无关,技术岗,机械设计师,10500
12,土木工程,3.0-3.5,0,无,428 (通过),二级,无,毕业实习,国企,完全相关,技术岗,机械设计师,10500
13,金融学,2.0-3.0,0,无,504 (通过),无,无,毕业实习,四大会计师事务所,完全相关,技术岗,量化研究员,11000
14,市场营销,3.0-3.5,0,无,433 (通过),无,计算机科学,日常实习,外资企业,完全相关,技术岗,量化研究员,11000
15,市场营销,2.0-3.0,0,无,401 (未通过),二级,无,暑期实习,外资企业,完全相关,非技术岗,供应链管理,11500
16,电子工程,3.5+,0,无,482 (通过),三级,无,毕业实习,中小型企业,无关,技术岗,通信工程师,11500
17,工商管理,3.5+,0,无,502 (通过),无,无,日常实习,金融机构,完全相关,技术岗,财务分析师,11000
18,市场营销,3.5+,0,省奖,568 (通过),二级,无,日常实习,创业公司,完全相关,非技术岗,市场营销专员,10000
19,自动化,3.5+,0,无,594 (通过),三级,无,毕业实习,央企,部分相关,技术岗,电子工程师,11500
20,汉语言文学,2.0-3.0,2,无,305 (未通过),无,无,日常实习,传媒机构,完全相关,技术岗,其他,7500
21,材料工程,3.5+,0,省奖,556 (通过),二级,无,毕业实习,外企,部分相关,技术岗,材料研发员,10500
22,通信工程,3.0-3.5,0,无,437 (通过),二级,无,毕业实习,中小型企业,完全相关,技术岗,自动化控制师,11000
23,通信工程,3.5+,0,国奖,581 (通过),三级,无,暑期实习,行业龙头,完全相关,技术岗,电子工程师,12000
24,新闻学,3.5+,0,无,482 (通过),无,无,暑期实习,事业单位,部分相关,技术岗,其他,8000
25,机械工程,3.0-3.5,0,无,575 (通过),二级,无,日常实习,外企,部分相关,技术岗,材料研发员,10000
26,汉语言文学,2.0-3.0,0,无,304 (未通过),无,无,毕业实习,教育机构,完全相关,非技术岗,行政助理,7500
27,机械工程,3.0-3.5,0,无,422 (未通过),二级,无,毕业实习,国企,无关,非技术岗,质量检测员,10000
28,市场营销,3.0-3.5,0,无,532 (通过),二级,法学,日常实习,外资企业,完全相关,技术岗,量化研究员,11500
29,金融学,3.0-3.5,0,无,478 (通过),二级,无,暑期实习,创业公司,部分相关,技术岗,财务分析师,12000
30,自动化,3.0-3.5,0,无,452 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,自动化控制师,12500
31,新闻学,3.0-3.5,0,校奖,543 (通过),无,经济学,日常实习,教育机构,完全相关,技术岗,其他,8000
32,材料工程,3.5+,0,校奖,554 (通过),二级,无,毕业实习,央企,部分相关,技术岗,机械设计师,10000
33,机械工程,3.0-3.5,0,无,526 (通过),二级,无,暑期实习,外企,完全相关,技术岗,材料研发员,9500
34,英语,3.0-3.5,0,无,460 (通过),无,无,毕业实习,传媒机构,无关,技术岗,其他,8000
35,土木工程,3.0-3.5,0,无,426 (通过),二级,无,暑期实习,外企,部分相关,技术岗,材料研发员,10000
36,会计学,3.0-3.5,0,无,468 (通过),二级,无,日常实习,外资企业,完全相关,技术岗,量化研究员,11000
37,自动化,3.5+,0,校奖,546 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,通信工程师,12000
38,法学,2.0-3.0,0,无,406 (未通过),一级,无,毕业实习,教育机构,完全相关,技术岗,其他,8500
39,人工智能,3.5+,0,校奖,592 (通过),三级,无,毕业实习,上市科技公司,完全相关,技术岗,算法工程师,13500
40,法学,2.0-3.0,0,无,406 (未通过),无,经济学,暑期实习,自由职业,无关,技术岗,其他,7500
41,电子工程,3.0-3.5,0,无,432 (通过),三级,无,暑期实习,中小型企业,部分相关,技术岗,电子工程师,13000
42,自动化,3.0-3.5,0,省奖,537 (通过),三级,无,暑期实习,研究院所,部分相关,技术岗,通信工程师,12000
43,会计学,3.5+,0,省奖,523 (通过),二级,无,日常实习,四大会计师事务所,完全相关,技术岗,量化研究员,11500
44,自动化,3.0-3.5,0,省奖,450 (通过),三级,无,毕业实习,央企,完全相关,非技术岗,技术顾问,12500
45,金融学,2.0-3.0,1,无,338 (未通过),二级,无,毕业实习,外资企业,完全相关,技术岗,量化研究员,10500
46,会计学,2.0-3.0,0,无,397 (未通过),二级,法学,毕业实习,外资企业,部分相关,技术岗,量化研究员,10500
47,市场营销,2.0-3.0,0,无,384 (未通过),无,无,毕业实习,外资企业,部分相关,技术岗,财务分析师,10500
48,软件工程,3.0-3.5,0,无,507 (通过),三级,电子工程,日常实习,上市科技公司,部分相关,技术岗,系统架构师,12500
49,计算机科学与技术,3.5+,0,校奖,603 (通过),三级,无,暑期实习,世界500强,完全相关,技术岗,系统架构师,15500
50,会计学,2.0-3.0,0,无,463 (通过),无,无,暑期实习,四大会计师事务所,部分相关,技术岗,财务分析师,11000
51,软件工程,3.5+,0,无,516 (通过),三级,无,暑期实习,中小型企业,部分相关,技术岗,数据分析师,14000
52,计算机科学与技术,2.0-3.0,0,无,403 (未通过),三级,数学,毕业实习,中小型企业,部分相关,非技术岗,产品经理,13500
53,土木工程,3.0-3.5,0,无,540 (通过),二级,无,毕业实习,央企,完全相关,非技术岗,质量检测员,11000
54,自动化,3.0-3.5,0,无,490 (通过),三级,无,毕业实习,行业龙头,完全相关,非技术岗,项目协调员,11000
55,材料工程,2.0-3.0,1,无,469 (通过),三级,无,毕业实习,国企,部分相关,非技术岗,质量检测员,10000
56,土木工程,2.0-3.0,0,无,426 (通过),三级,无,暑期实习,央企,完全相关,技术岗,机械设计师,10000
57,通信工程,3.0-3.5,0,无,516 (通过),三级,无,毕业实习,行业龙头,完全相关,技术岗,通信工程师,12000
